ID,Responsavel,Lat,Long,Ceu,Vento,Observacoes
SDD 01,Juliana Leonel,-27.57788933333333,-48.5194763,Aberto,Parado,Local próximo à linha d'água. Presença de pneumatóforos. Presença de resíduos sólidos e tocas de espécies na região
SDD 03,Juliana Leonel e Julia Freire,-27.577101,-48.519441,Aberto,Parado,Local Afastado da linha da agua (≈ 20m). Sedimento mais seco. Menor quantidade de pneumatoforos. Proximo a vegetacao
SDD 04,Juliana Leonel e Julia Freire,-27.577263,-48.519467,Aberto,Parado,Local Afastado da linha da agua (≈ 20m). Sedimento mais seco. Menor quantidade de pneumatoforos. Proximo a vegetacao
SDD 05,Andressa,-27.577258,-48.519474,Aberto,Parado,"Acabando área de lagunculária, início da vegetação invasora, sedimento meio avermelhado"
SDD 06,Andressa,-27.577112,-48.519085,Aberto,Parado,"Contínuo na bord, muitas tocas, sedimento compactado, vegetação e transição."
SDD 08,Pedro Alípio,-27.577916,-48.5110649,Aberto,Parado,Local próximo à linha delimitadora onde começa a presença de vegetação mais consolidada. Presença de pneumatóforos
IGT-01,GABRIEL MACHADO,-27.588526299999998,-48.5174585,LIMPO,SEM VENTO,"LOCAL COBERTO COM VEGETAÇÃO NÃO TÍPICA DE MANGUEZAL AO LADO DA CICLOVIA, REGIÃO PARCIALMENTE ALAGADA."
IGT-02,GABRIEL MACHADO,-27.588525699999998,-48.5176027,LIMPO,FRACO,"ÁREA SECA, VEGETAÇÃO SOBRE SEDIMENTO COLETADO; PARCIALMENTE SECO; PONTO 5M DA CICLOVIA."
IGT-03,GABRIEL MACHADO,-27.5876749,-48.5188163,LIMPO,FRACO,LOCAL EM FRENTE AO CONDOMÍNIO ITAMBÉ; ODOR CARACTERÍSTICO DE MANGUEZAL; PRESENÇA DE AROEIRA; VEGETAÇÃO CARACTERÍSTICA PRÓXIMO A DRENAGEM; APRESENTA EUTROFIZAÇÃO NA ÁREA DRENADA.
IGT-04,MARIANA ZORZO,-27.5876752,-48.5191916,LIMPO,FRACO,EM FRENTE AO CORPO DE BOMBEIROS; PRESENÇA DE LIXO; VEGETAÇÃO NÃO CARACTERÍSTICA DE MANGUEZAL; BASTANTE VEGETAÇÃO SOBRE O SEDIMENTO; CHEIO CARACTERÍSTICO DE MANGUEZAL.
IGT-05,MARIANA ZORZO,-27.586938699999997,-48.5195108,LIMPO,FRACO,EM FRENTE AO CORPO DE BOMBEIROS; BASTANTE VEGETAÇÃO SOBRE O SEDIMENTO; VEGETAÇÃO NÃO CARACTERÍSTICA DE MANGUEZAL; POUCA ÁGUA.
Angeloni PTO01,Juliana,-27.574438,-48.526386,Aberto,Fraco,Presença de pneumatóforos
